"body","entityname","userid","createdAt"
"🇰🇷🍙🐣🐮😍","Jip Bap","100162404055730","2017-10-20 20:37:17.216+00"
"🇰🇷🍚🥢🍗","Woori Jib","1818871448126667","2018-04-28 18:21:33.411+00"
"🇰🇷🍜🌶👍","Gen Korean BBQ House","YERDVEbFfOgOmoxrLA6ZOUpGySQ2","2018-07-07 18:56:39.077+00"
"🇰🇷🍳🍛🐷🤤","Spoon House","100162404055730","2017-10-20 20:41:26.514+00"
"🇰🇷🍶🍲👫👫","Jjan","904147553087729","2018-11-19 04:16:32.18+00"
"🇰🇷🐔🍚👌","Spoon House","105856798281199967470","2018-04-29 22:28:42.947+00"
"🇰🇷🐔🥘♨️🙏","Jijime","105856798281199967470","2018-11-11 03:25:21.932+00"
"🇰🇷🛫🇺🇸👋👋","Incheon International Airport","904147553087729","2018-05-27 12:05:31.399+00"
"🇰🇷🥃🍺🍹🍷","Joverse","mwRDzWaHECfM8MhINOHbYSLmwRs2","2018-04-26 02:20:12.441+00"
"🇰🇷🥩🍲❣👍","Masijta Grill","904147553087729","2018-07-23 14:54:30.427+00"
"🇰🇷🥩🔥😋","Kang Ho Dong Baekjeong","904147553087729","2018-11-23 08:26:28.112+00"
"🇰🇷🥪🐄🧀","Marination","10214788409806965","2018-02-02 05:42:11.713+00"
"🇱🇧🥩🐏🥙😍","The Cedar Tree","105856798281199967470","2018-06-01 10:44:40.572+00"
"🇱🇾","Palais des Congrès in Montreal","oCcE0ZEULxgdeO2KYidlzgMjn5I2","2018-04-23 23:31:56.036+00"
"🇲🇦🍚‼️🥦🥩","Kouskous Express","361816177630471","2018-03-02 03:45:57.047+00"
"🇲🇲🍝🥗👍","Kyusu Burmese Cuisine","10155351902975735","2018-07-07 21:06:49.505+00"
"🇲🇽©️🅰️🌹🍕","Howie's Artisan Pizza","Ybwj1wTN0rVKBHTbr4YbiK0JMyc2","2018-09-30 01:44:53.07+00"
"🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽","QDOBA Mexican Eats","1958216867729438","2017-11-30 18:18:30.086+00"
"🇲🇽🌮👌😣😬","Maize Mexican Grill","1361942793868970","2017-09-08 20:17:19.068+00"
"🇲🇽🌮😍😍","El Progreso","743076299226362","2017-11-15 18:22:58.95+00"
"🇲🇽🌮🥑🙌🌶","XOCO","361816177630471","2018-03-02 03:52:06.237+00"
"🇲🇽🌯❎🌶️😐","Sarita's Mexican Restaurant","105856798281199967470","2018-09-15 20:48:47.662+00"
"🇲🇽🌯🐔💚👍","Sixto's Cantina","105856798281199967470","2018-09-22 22:35:22.078+00"
"🇲🇽🌯🕳🏠😋","Jalisco Restaurant","1111655028939865","2018-05-22 18:10:28.618+00"
"🇲🇽🌽🤤🐓🥪","Rose Cafe","106173579224565293482","2018-08-02 21:05:16.999+00"
"🇲🇽🍫🌶️☕🙌","Dollop Coffee Co.","10212886863311893","2018-02-18 20:16:08.655+00"
"🇳🇱⚫🍒🥃😊","Total Wine & More","Ybwj1wTN0rVKBHTbr4YbiK0JMyc2","2018-10-28 01:12:32.638+00"
"🇳🇱🚅🇧🇪🔂🏠","Amsterdam Centraal","105856798281199967470","2018-08-10 12:11:39.6+00"
"🇳🇵🥟🥗🏔😐","Tibet Restaurant","108032751776815363988","2018-06-04 19:35:51.203+00"
"🇵🇪🐔🥚🍲🍚","Mochica","105856798281199967470","2018-09-22 03:07:57.679+00"
"🇵🇪🐟🍹🌶️😋","La Parada","1647801008617579","2018-08-23 14:49:14.694+00"
"🇵🇪👨‍🍳🔥🐂♥️","Tanta Chicago","2053211201557946","2018-05-31 21:48:19.817+00"
"🇵🇰👮‍♂️😂🤣😆","Checkpoint Charlie","106173579224565293482","2018-10-17 01:57:34.649+00"
"🇵🇱🍻🤤👍","Orion Restaurant","10211259225139252","2017-11-20 03:56:47.259+00"
"🇵🇱🥟🍺👪💯","Staropolska Restaurant","10160009362260456","2018-05-14 03:17:33.633+00"
"🇵🇷➕🇹🇭🤔🌶️","Spotted Monkey","878293195646842","2018-01-27 00:05:16.181+00"
"🇵🇹🍩😍","Leonard's Bakery","1529368180503424","2018-03-18 22:14:49.744+00"
"🇵🇹🔝👥","Taverne F","a75GkecYjZPfhwj4LIkpJPvvRXL2","2018-04-25 23:36:03.451+00"
"🇷🇺","O'Hare","DMPW3hlDggWXJ3duT3E9ZqRsu0Y2","2018-05-14 01:04:26.475+00"
"🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺","The White House","110552048142302449846","2018-03-14 22:51:32.153+00"
"🇷🇺🌶️🍋😁","Please Don't Tell","105856798281199967470","2018-07-16 04:33:15.113+00"
"🇷🇺👎👋🇭🇷❤️","Saratoga","10155351902975735","2018-07-07 21:11:20.358+00"
"🇷🇺🔫🃏🤯👏","Daryl Roth Theatre","10155200088205955","2018-08-20 02:39:08.257+00"
"🇷🇺😂🤣","LOLO","DMPW3hlDggWXJ3duT3E9ZqRsu0Y2","2018-05-14 20:45:26.914+00"
"🇷🇺🤖😂🐷🐷","Tap House Grill","DMPW3hlDggWXJ3duT3E9ZqRsu0Y2","2018-05-25 03:39:55.895+00"
"🇷🇺🤖🛫","Minneapolis−Saint Paul International Airport","DMPW3hlDggWXJ3duT3E9ZqRsu0Y2","2018-05-14 21:27:49.989+00"
"🇸🇬⚫🌶️🍆👍","Banana Leaf Restaurant","Ybwj1wTN0rVKBHTbr4YbiK0JMyc2","2018-12-07 23:42:24.445+00"
"🇹🇭➕🇧🇷🌶️🍛","Thai Brasil","10159158025280648","2018-02-18 18:56:37.833+00"
"🇹🇭🍚🍖👍😍","Pho Cafe Thai Kitchen","1361942793868970","2017-08-31 20:23:34.985+00"
"🇹🇭🍚🐔😋💸","Lao Table","1818871448126667","2018-03-16 03:09:00.47+00"
"🇹🇭🍛🍝👍😍","Siam Terrace","100162404055730","2017-10-19 17:27:59.986+00"
"🇹🇭🍛🐣🥜🔥","Pho Cafe Thai Kitchen","100162404055730","2017-12-13 21:47:36.674+00"
"🇹🇭🍜❌🌶😌","Arches Thai","1111655028939865","2018-05-24 21:22:43.889+00"
"🇹🇭🐓🥥⬇️🥈","PAI","1659104244102907","2018-07-31 17:04:44.018+00"
"🇹🇭🐔🐟🍜💼","Hawker Fare","105856798281199967470","2018-09-20 17:41:36.772+00"
"🇹🇭🐔👵🎉🎂","Oros Thai Restaurant","105856798281199967470","2018-11-11 22:45:48.286+00"
"🇹🇭💼🍜🌶️😋","Farmhouse Kitchen Thai Cuisine","105856798281199967470","2018-09-06 22:52:44.475+00"
"🇹🇭🔥😍🐐","Thai Meal","1671649076180873","2017-12-21 18:28:17.816+00"
"🇹🇭😒😶","Butterfly Sushi Bar & Thai Cuisine","878293195646842","2017-08-31 04:57:20.834+00"
"🇹🇷","ADEN Beytepe","RTmDVZIBaCTRjBEhfBYxGYsiyCx2","2018-06-28 18:53:44.318+00"
"🇹🇷☕👨👨🤝","Philz Coffee","105856798281199967470","2018-11-24 20:36:37.22+00"
"🇹🇷☕🚬🤩","Philz Coffee","105856798281199967470","2018-03-21 18:58:15.122+00"
"🇹🇼🙂🍚👌","Ma Ma Chen's Kitchen 陳媽媽廚房","10210528750468531","2018-03-04 04:08:21.347+00"
"🇺🇲⏩🇲🇽👌","Cross Border Xpress","1647801008617579","2018-11-24 06:47:27.896+00"
"🇺🇲🌎↙️","Southernmost Point of the Continental US","10212391291791338","2018-12-27 19:04:58.87+00"
"🇺🇲🛫🕗🛬🇬🇧","O'Hare International Airport","1361942793868970","2017-12-21 14:19:02.503+00"
"🇺🇸✈️🇮🇳","O'Hare International Airport","1425689854196183","2018-05-15 02:06:52.696+00"
"🇺🇸✈️🇺🇸⛈😂","O'Hare International Airport","1425689854196183","2018-05-15 04:17:13.721+00"
"🇺🇸➡️🇰🇷👋😀","Seattle-Tacoma International Airport","1818871448126667","2018-05-22 20:48:35.193+00"
"🇺🇸⬜🏠","The White House","1111655028939865","2018-05-19 15:49:53.01+00"
"🇺🇸🌎🤪","West Town","10159158025280648","2018-04-17 02:34:04.6+00"
"🇺🇸🏈🌉🍺🐻","Soldier Field","10212886863311893","2017-12-03 20:24:22.932+00"
"🇺🇸🏠✈️😄","Ronald Reagan Washington National Airport","10210457306100125","2018-05-31 12:45:59.398+00"
"🇺🇸🗽🐻⛲😍","Embassy of the United States of America","106173579224565293482","2018-10-14 19:48:39.326+00"
"🇺🇸😌🍽🤤❤","The Courier Cafe","100162404055730","2017-10-19 17:22:20.838+00"
"🇺🇸🛫😴🛬🇵🇹","San Francisco International Airport","1748667878486854","2018-06-09 14:57:02.753+00"
"🇺🇸🛫🛬🇨🇦👩‍🎤","O'Hare International Airport","106173579224565293482","2018-04-22 16:21:14.146+00"
"🇻🇳🇫🇷🍜☕👍","Le Colonial Chicago","1659104244102907","2018-07-24 15:29:14.745+00"
"🇻🇳🌶️🌶️🐓😅","Asian Box","106173579224565293482","2018-10-27 23:03:39.176+00"
"🇻🇳🍚🥓🥗🤤","Sizzle & Crunch","10214788409806965","2018-08-09 06:26:03.811+00"
"🇻🇳🍜🍚🧑👧","BoCaphe","105856798281199967470","2018-07-13 01:35:47.309+00"
"🇻🇳🐟🥗🍖🍜","Tamarind Tree","rsz45h7FGneakMuNMiLFRbf7Wkm1","2018-04-28 19:03:01.134+00"
"🇻🇳👫👫🐙😋","Hanoi House","10155200088205955","2018-10-02 00:59:44.787+00"
"🇻🇳😀👍👍👍","Pho Brothers","108473739188452905120","2018-03-04 21:54:32.643+00"
"🈳1️⃣🤦🏻‍♂️🦃🈳","Burnham 310","10212391291791338","2018-11-23 00:52:12.652+00"
"🌀🍨🍓🍫😋","Paris super crepe","1425689854196183","2018-05-04 04:07:55.868+00"
"🌂🗼🚀","Montréal-Pierre Elliott Trudeau International Airport","ABsuZFGJ4NaBAnGX5b0h2cjBCDC2","2018-04-26 16:26:01.336+00"
"🌃⏳⌛🍩🤤","Backdoor Donuts","10155200088205955","2018-08-27 12:13:16.055+00"
"🌃🌆🌇🛳️👫","The Standard, High Line","106173579224565293482","2018-07-15 18:31:41.167+00"
"🌃🌇⛵💲","The Harrison","10155351902975735","2018-03-25 22:39:00.968+00"
"🌃🍚🐣🤫🙌","Ambar India Restaurant","1270106893044550","2017-12-17 19:06:07.571+00"
"🌃🍷🌙🎵🤑","Westlight","1517874618267474","2018-07-11 01:21:55.279+00"
"🌃🎤👩‍💻🥇💼","1871","1659104244102907","2018-03-30 00:44:01.781+00"
"🌃💃🤙⚡","PH-D Lounge","1659104244102907","2018-05-06 05:58:06.804+00"
"🌃💜🙌🥂🍸","The Violet Hour","1660353924016921","2018-03-17 01:32:08.292+00"
"🌃🕛🍕➡️🏠","Joe's Pizza","10155200088205955","2018-09-29 04:20:05.11+00"
"🌃🕯️💻☕🤓","Hammerhead Coffee","100162404055730","2017-12-08 07:32:28.01+00"
"🌃🕯📝⏳😨","Live Latitude","1361942793868970","2017-09-13 07:11:54.855+00"
"🌃😍🍹🏨","London House Rooftop Bar","XXnUVF4DL9ckCjh3acLaUOG33hH2","2018-09-03 03:55:14.879+00"
"🌄☕🥥👩‍💻😍","Storyville Coffee Pike Place","1659104244102907","2018-05-12 03:36:56.751+00"
"🌄🌴🌴🌴🌴","Kallambella","1425689854196183","2018-05-20 11:22:09.977+00"
"🌄🏋","Studiomix","10160306553590694","2018-03-30 13:50:53.592+00"
"🌄💯🤵👰","McCormick Ranch Golf Club","1659104244102907","2018-07-24 15:39:38.587+00"
"🌄🦆🐢🌯","Douglas Park","10155351902975735","2018-05-03 19:43:26.382+00"
"🌅☕💕","Starbucks","904147553087729","2018-02-18 17:05:16.857+00"
"🌅🆕👖👜👕","Downtown Santa Monica","10155351902975735","2018-03-31 04:21:39.365+00"
"🌅🌇🛏️","The Parkline","10155216799991447","2018-01-20 14:44:31.181+00"
"🌅🌊🌄🇧🇷","Sheraton Grand Rio Hotel & Resort","10159158025280648","2018-02-22 17:15:54.126+00"
"🌅🍩💐🎓🎉","Urbana's Market at the Square","10155200088205955","2018-05-12 13:05:04.483+00"
"🌅🐦☕😊","Caffe Paradiso","4fSiQkmyzzSrHMcu6b221awqU6j1","2018-12-17 14:27:08.494+00"
"🌅💚⚡🤩📷","Shirley Heights","10155200088205955","2019-01-13 23:20:39.587+00"
"🌅😴😳🌅","Alyeska Resort & Hotel Alyeska","105856798281199967470","2018-08-20 18:54:12.338+00"
"🌅🚫🍩🌧️😢","Urbana's Market at the Square","10155200088205955","2018-07-21 13:46:38.296+00"
"🌅🚲🦔🍠🥙","Bde Maka Ska","nYKFqOP414NlrJz31PhjBmTAblR2","2018-04-29 02:36:49.812+00"
"🌅🥞🥓🍳🤩","Perkins Restaurant & Bakery","1270106893044550","2017-12-02 22:27:58.895+00"
"🌆⚾👦👧😇","AT&T Park","10203191900074104","2018-07-07 03:52:26.179+00"
"🌆🌃☕🛏🚿","Live Latitude","10212886863311893","2017-11-09 03:27:10.773+00"
"🌆🏔🛸😊📍","Space Needle","10215323205660534","2018-05-30 00:47:36.688+00"
"🌆🔝🍣🍹😋","Gallow Green","106173579224565293482","2018-07-15 18:27:06.939+00"
"🌆🚅✈️🌇","Newark Liberty International Airport","10212886863311893","2017-11-26 14:22:21.033+00"
"🌆🛏💋😈🍸","The Standard, East Village","115361705896308","2017-11-07 23:57:55.999+00"
"🌆🛏💋😈🍸","The Standard, East Village","108032751776815363988","2017-11-07 23:57:55.999+00"
"🌇🏝️🇨🇺🍾🛥️","Key West","ITWmeibCgYVvpimix1bjXx3cBbm2","2018-12-27 22:28:59.866+00"
"🌇🐖🍚🍳☺️","DESTIHL Restaurant & Brew Works","xkUdubkt3Cgfn7peWTWTEejSvmm1","2018-11-23 18:42:12.803+00"
"🌇😍🎻👫👭","Mount Royal","1659104244102907","2018-07-08 02:19:21.221+00"
"🌇😴🌃😳🤦‍♀️","W Stoughton St","904147553087729","2018-02-28 02:41:30.572+00"
"🌇🚞🌱🌊🛠","Newmark Civil Engineering Laboratory","1842834859127406","2018-03-10 18:38:59.101+00"
"🌇🥂","The Signature Room at the 95th®","2053211201557946","2018-03-19 23:11:15.494+00"
"🌈🍬😗🤯😇","CIBO Express Gourmet Market","10155200088205955","2018-02-16 18:18:51.424+00"
"🌈🍺🌈","Joe's Brewery","10155815510269518","2017-11-01 03:40:54.804+00"
"🌈💗🍁","Palais des Congrès in Montreal","AZzVAeQdkicjhJ86GU2yrlX1ivN2","2018-04-24 06:33:21.41+00"
"🌉🌁🚶🚶‍♀️🌬","Golden Gate Bridge","10212391291791338","2018-07-06 01:55:39.633+00"
"🌉😍","Harbor Court Hotel","IVxTrnRwMxWyhshYhy7iKvbdYmm2","2018-10-02 02:46:07.241+00"
"🌉🚗🚙🚕🏞️","Golden Gate Bridge","HTE1Hxr6OQOuRxrMyS4iUHYE6lP2","2018-09-14 04:35:20.099+00"
"🌊☀️🌡️🏖️📖","Hotel del Coronado, Curio Collection by Hilton","10156074801518874","2018-01-31 00:59:20.078+00"
"🌊☁️🌤🐶🕶","New Brighton State Beach","ElCHyip2O7h356mKQsaipbdNhOL2","2018-07-01 23:02:39.451+00"
"🌊🌓🦐🐑😍","The Marine Room","10156074801518874","2018-09-18 06:02:28.898+00"
"🌊🎱👩💎🚓","Angelika Film Center & Café at Mosaic","108032751776815363988","2018-06-18 11:53:35.054+00"
"🌊🎱💎🙃🤣","Angelika Film Center & Café at Mosaic","10155200088205955","2018-06-17 18:46:26.385+00"
"🌊🏊🌧","Beautiful Sea Vacation Site","10155963998008817","2018-06-17 10:10:55.816+00"
"🌊🐟🐬🦈🌊","Monterey Bay Aquarium","1842834859127406","2018-03-20 19:35:41.891+00"
"🌊💦🚶‍♀️😰🧥","Carmel by the sea","106173579224565293482","2018-09-02 02:36:51.51+00"
"🌊🚶‍♂️➡️😧🏊‍♂️","Chicago Riverwalk","10210457306100125","2018-02-12 15:52:34.437+00"
"🌊🚶‍♂️🐩🌁🌅","Lands End Lookout","10203814544039457","2018-03-05 20:27:04.013+00"
"🌊🛳️🦀🏖️😎","Martha's Vineyard","108032751776815363988","2018-08-26 00:47:08.331+00"
"🌋","Palais des Congrès in Montreal","nYKFqOP414NlrJz31PhjBmTAblR2","2018-04-23 23:20:12.947+00"
"🌋🌶️🍛🐓😋","Volcano Curry","10203814544039457","2018-03-04 22:48:24.69+00"
"🌋🍹🗿🎶","Pagan Idol","115361705896308","2017-12-13 04:26:06.876+00"
"🌋🍹🗿🎶","Pagan Idol","108032751776815363988","2017-12-13 04:26:06.876+00"
"🌌🐔🍚🤓😴","Cravings","100162404055730","2017-10-19 15:53:48.98+00"
"🌌🚀🛩️🚁🛰️","Steven F. Udvar-Hazy Center","108032751776815363988","2018-11-25 08:30:19.45+00"
"🌌🚶‍♀️👶🦉🤩","Colleen Dr","10155200088205955","2018-07-02 04:14:23.288+00"
"🌍😇🤗💵❤️","Arthur's Seat","QGQ5pcCQVyM1a4b6kedH0yPKj7L2","2018-05-27 17:48:39.233+00"
"🌎🌍🌏🍫😍","Dandelion Chocolate","EqqFCv1Cd8h9lvYOkARhuZVm8zw1","2018-09-01 19:55:57.921+00"
"🌎🌍🌏🕊️⚖️","United Nations Office at Geneva","105856798281199967470","2018-08-15 12:41:02.904+00"
"🌏🍽😅☀️🌯","Smorgasburg","1517874618267474","2018-07-11 01:19:26.141+00"
"🌐🌴🌺🚿😍","The Spheres","10155200088205955","2018-11-28 02:10:04.793+00"
"🌐💻🖊️🔨📲","Thomas M. Siebel Center for Computer Science","10101518996685315","2018-02-24 20:47:12.489+00"
"🌘🍝🥦🍗👌","Perkins Restaurant & Bakery","100162404055730","2017-12-13 07:51:39.066+00"
"🌘🏃🥔🍖👌","Nou Can Codina","10203814544039457","2018-03-18 22:33:04.459+00"
"🌘💻📶❌🤬","Latitude Apartments","1361942793868970","2017-12-06 06:33:22.53+00"
"🌙🌃🍜🍤🍗","Sakanaya Restaurant","2053211201557946","2018-03-11 05:45:35.104+00"
"🌙🍰😋💗","W Stoughton St","904147553087729","2018-03-01 02:50:19.832+00"
"🌙🎩🍸☀️","MATTATOIO","1329892213741432","2017-12-05 20:07:37.86+00"
"🌙🐺🌊🍪😴","Gray Wolf Inn & Suites","10212391291791338","2018-06-18 16:18:23.981+00"
"🌙👫👬👭🍩","Backdoor Donuts","10155200088205955","2018-08-27 03:55:32.054+00"
"🌙🔜👨‍💼👨‍💻","402 S 5th","2053211201557946","2018-03-13 06:17:43.961+00"
"🌙😴🛌🏩👩‍❤️‍👨","Courtyard by Marriott Miami West/FL Turnpike","10212391291791338","2018-12-28 04:41:18.583+00"
"🌚🍸🥙👌💯","Xando cafe","1864493876898160","2017-11-25 06:03:58.411+00"
"🌚💕🎤🎶🎵","Indiana Farm Bureau Insurance Lawn","849156475252964","2018-04-29 03:16:32.439+00"
"🌚🔄🌝💢😴","Live Latitude","1361942793868970","2017-12-08 19:05:29.746+00"
"🌚🙄🤦‍♀️⌛😒","Burger King","1507101322644203","2017-10-30 01:33:50.177+00"
"🌝🍃💨🍔💯","Burger King","1760092214030588","2017-11-02 00:59:08.355+00"
"🌝🍣🍣🤟🤓","Japonessa Seattle","10210528750468531","2018-03-17 23:22:11.404+00"
"🌝🐤🍜🍲🍶","MingHin Cuisine","10212778151718277","2017-11-12 06:17:05.168+00"
"🌝😴💤🌞⏰","Sheraton Palo Alto Hotel","10212391291791338","2018-07-01 16:23:30.104+00"
"🌝🚶‍♀️➡️🏢👩‍💻","Illini Union","1270106893044550","2017-12-02 22:26:46.948+00"
"🌞☕🏖️♥️😎","Ble Pavillon","10211437303582304","2017-12-06 13:23:13.512+00"
"🌞🌆🏢🛏️😍","Live Latitude","10212886863311893","2018-01-18 21:28:26.852+00"
"🌞🌇👔✊","Burlingame CalTrain Station","105856798281199967470","2018-11-12 16:21:13.608+00"
"🌞🎶🍷🥇","Sun Singer Restaurant, Wine & Spirits","UQ1c3N7QTMd8WToL3NfaRGgXu4f2","2018-08-04 00:07:36.709+00"
"🌞👍🍕🍪","Auntie Anne's Pretzels","1585186008195683","2018-03-03 06:02:10.534+00"
"🌞👙🏊‍♀️👍","Sholem Aquatic Center","110478412661569610356","2018-07-01 21:12:27.427+00"
"🌟🔥🍝🍔❤","Cafe Fitoor","1515048151896533","2017-11-13 06:49:46.026+00"
"🌟😍🍰🍫😋","Georgetown Cupcake","1660353924016921","2018-03-01 04:12:04.387+00"
"🌡️❄️☃️🥶🏃‍♂️","University of Illinois Campus Recreation","10212391291791338","2019-01-21 03:46:19.187+00"
"🌡️🌵😍👣","Desert Botanical Garden","1659104244102907","2018-07-24 15:38:48.25+00"
"🌤☕🍩👨‍💻🎼","Hammerhead Coffee","100162404055730","2017-11-10 02:10:51.482+00"
"🌤☕🍪","Greek Padel Academy Alimos","100162404055730","2017-11-16 06:10:25.137+00"
"🌤🍃🏌️‍♀️😊","University of Illinois Golf Course","904147553087729","2018-07-28 14:47:27.778+00"
"🌤🐳⛰🐋📷","Mystic Sea Charters","1648496811845277","2018-06-29 00:22:35.648+00"
"🌤🗻😌","Gullfoss Falls","1970440316501428","2018-05-23 17:47:46.975+00"
"🌥️❄️🧚‍♀️✨🌈","Champaign","106173579224565293482","2018-12-11 00:16:57.719+00"
"🌧️☔🌧️😕","Orchard Hill Residential Area","htinzXo0U8gSKo8oHgG1WEkqWXc2","2018-09-18 13:51:17.852+00"
"🌧️☔🚶‍♂️🍗🍊","County Market","10212391291791338","2018-09-08 17:03:02.64+00"
"🌧️☔🤷‍♂️🏃‍♂️🏃‍♂️","Activities and Recreation Center","10212391291791338","2018-11-01 23:43:30.128+00"
"🌧️➡️✈️➡️🗽","John F. Kennedy International Airport","rsz45h7FGneakMuNMiLFRbf7Wkm1","2018-10-31 21:21:46.223+00"
"🌧️🌧️🌧️🌧️😍","Seattle","IVxTrnRwMxWyhshYhy7iKvbdYmm2","2018-11-27 05:46:07.658+00"
"🌧️💻☕🥰","Sue's Gallery Cafe","zUDmPvF8Jscw9ykmv5nvhNnG7YM2","2019-02-01 23:11:39.728+00"
"🌧️🛫👰🤵","University of Illinois Willard Airport CMI","10155200088205955","2018-09-07 20:00:38.709+00"
"🌧🚗🚕🚙😤","Seoul","904147553087729","2018-05-12 03:38:43.13+00"
"🌨️❄️👀😬","Thomas M. Siebel Center for Computer Science","10155200088205955","2018-12-06 23:10:43.488+00"
"🌨️❄️🔜🏫😬","Champaign","10155200088205955","2018-11-15 15:08:30.951+00"
"🌨️🏨♨️🥰💋","Virgin Hotels Chicago","10155200088205955","2019-01-27 00:45:57.363+00"
"🌨️🗣️🤝😎🙏","Bahen Centre for Information Technology","10155200088205955","2019-02-13 20:56:47.904+00"
"🌪💔🌳🙆😱","Urbana","110478412661569610356","2018-06-11 12:06:34.229+00"
"🌬️🌡️😱🏃‍♂️🏃‍♂️","University of Illinois Campus Recreation","10212391291791338","2018-10-25 03:43:16.191+00"
"🌬️🌨️❄️🥶","Champaign","10155200088205955","2019-01-20 01:17:18.145+00"
"🌬️👩➡️✨👸","Drybar Meatpacking","10155200088205955","2018-02-24 19:02:46.869+00"
"🌭☎️➡️🍺🤫","Please Don't Tell","105856798281199967470","2018-07-16 03:35:17.163+00"
"🌭🍔🍞🍅🥓","Jimmy John's","100162404055730","2018-02-08 09:58:16+00"
"🌭🍟🍰🤤😍","Portillo's Hot Dogs","100162404055730","2017-11-09 04:49:55.097+00"
"🌭🍟🍻🤤😴","Saus Boston","108032751776815363988","2018-04-20 01:22:53.93+00"
"🌭👦👦👦😂","Original Gravity Public House","105856798281199967470","2018-06-25 04:15:31.346+00"
"🌭🤢","Pink's Hot Dogs","10156074801518874","2018-04-15 05:58:15.379+00"
"🌭🥪😋🍴","Portillo's Hot Dogs","XXnUVF4DL9ckCjh3acLaUOG33hH2","2018-09-03 21:51:08.591+00"
"🌮","Tomatillo Taco Joint - New Haven","10211015077597667","2018-03-01 15:21:06.507+00"
"🌮🆗","The Whole Enchilada - Mexican Restaurant Plantation","108473739188452905120","2018-03-24 22:25:34.694+00"
"🌮🇰🇷😍👍","Kogi Taqueria","10155351902975735","2019-01-06 01:36:51.86+00"
"🌮🇲🇽🌯🌶️👌","La Cueva","10212886863311893","2018-02-05 22:59:32.851+00"
"🌮🇲🇽🤤🏆","Las Cuatro Milpas","10156074801518874","2018-05-26 18:01:41.086+00"
"🌮🌮","Bio Cafe","878293195646842","2017-03-16 06:14:12.287+00"
"🌮🌮🇲🇽😋","Tortilleria Sinaloa","1869845356363551","2017-11-08 19:04:11.794+00"
"🌮🌮🌮🐔🤤","Maize at the Station","10155200088205955","2018-09-03 22:26:59.258+00"
"🌮🌮🌮👍","Bien Chido- Authentic Mexican Taqueria","794492160751553","2017-09-08 22:29:51.156+00"
"🌮🌮🌯👍","Lime Fresh Mexican Grill","878293195646842","2017-12-21 17:27:21.278+00"
"🌮🌮🌶️☘️😋","Fat Baby Tacos","10212886863311893","2018-02-18 05:07:10.97+00"
"🌮🌮🍺👍💯","Big Star","878293195646842","2018-06-08 01:29:45.463+00"
"🌮🌮🐔🤤😴","Maize Mexican Grill","10155200088205955","2018-09-14 20:29:44.238+00"
"🌮🌯➕👩‍👧‍👦❤️","Pancheros Mexican Grill","110478412661569610356","2018-03-16 17:30:59.494+00"
"🌮🌯👨‍💻👩‍💻👥","Maize at the Station","106173579224565293482","2018-09-19 23:14:04.253+00"
"🌮🌯💯","Tacos Chukis","IVxTrnRwMxWyhshYhy7iKvbdYmm2","2018-11-29 04:51:50.364+00"
"🌮🌯😀","Taco Bell","105388889274129434011","2018-02-20 18:25:39.171+00"
"🌮🌯😊","Tacos Chukis","1425689854196183","2017-12-17 04:08:37.43+00"
"🌮🌯😋💯","Tacos Chukis","IVxTrnRwMxWyhshYhy7iKvbdYmm2","2018-10-15 04:27:55.031+00"
"🌮🌯😋🤙","El Toro II","103629337075362","2017-11-19 04:05:55.493+00"
"🌮🌶🐓😋","Maize at the Station","157924978075040","2017-10-04 20:58:49.321+00"
"🌮🌽🤘","Blue Plate Taco","980183395456784","2017-09-17 16:06:51.392+00"
"🌮🍲😍","Panera Bread","10210865440293093","2017-12-25 05:36:14.184+00"
"🌮🍸🔥","Flaco's Tacos","1695707747139533","2018-03-07 18:30:02.548+00"
"🌮🍹🍸🍺😊","Selena Rosa Mexicana","10155279177545749","2017-11-19 01:27:29.871+00"
"🌮🍹😁","Tex Tubb's Taco Palace","10216061483110526","2018-03-17 04:51:54.403+00"
"🌮🍺👨‍👨‍👧‍👦","El Chupacabra Greenwood","imKur6dQMxYb8x5zU0gyJcoLIkw1","2018-12-30 03:37:50.674+00"
"🌮🍺🤤😍","La Capital Tacos","AVUCyFwgdobgH1nTqHPZWNCivmY2","2018-04-24 19:15:04.263+00"
"🌮🐄🤤🇲🇽🇵🇷","Rico Fresh Market","1760092214030588","2018-06-04 04:40:32.521+00"
"🌮🐓🇲🇽🍺👍","Maize at the Station","Ybwj1wTN0rVKBHTbr4YbiK0JMyc2","2018-07-21 22:33:59.464+00"
"🌮🐓🌯🐄🔥","Dos Reales Mexican Restaurant","1586942511398249","2018-03-13 01:04:30.739+00"
"🌮🐓🐖🌶😋","Maize at the Station","157924978075040","2017-11-11 22:05:53.78+00"
"🌮🐔🐟👍","Tuco And Blondie","105856798281199967470","2018-03-25 21:14:57.79+00"
"🌮🐔😀","Torchy's Tacos","105856798281199967470","2018-07-23 21:19:40.536+00"
"🌮🐟🇲🇽🍉👫","Tacombi Flatiron","10156074801518874","2018-09-27 23:58:16.777+00"
"🌮🐟💸👎","Eddie V's Prime Seafood","10156074801518874","2018-08-08 18:30:09.056+00"
"🌮🐷🐔🌶️😩","Los Tacos No.1","105856798281199967470","2018-07-12 22:01:16.863+00"
