"body","entityname","userid","createdAt"
"☀️🏖🍦🍫😋","Lappert's Ice Cream","1111655028939865","2018-07-07 22:25:27.672+00"
"☀️🏝🌊🌇🎉","Honolulu","1529368180503424","2018-03-17 19:09:27.079+00"
"☀️👨‍💻🌙👨‍💻🌞","Thomas M. Siebel Center for Computer Science","10212391291791338","2018-09-21 15:36:57.016+00"
"☀️💼📃👩‍💼🗣️","Viterbi E-Quad","1898612533778623","2018-09-14 18:39:48.249+00"
"☀️🧗‍♂️🏃‍♂️🏊‍♂️🌚","University of Illinois Campus Recreation","10212391291791338","2018-10-21 22:50:17.835+00"
"☀🐔➡🏠😍","Blue Ribbon","115361705896308","2017-11-18 16:59:09.422+00"
"☀🐔➡🏠😍","Blue Ribbon","108032751776815363988","2017-11-18 16:59:09.422+00"
"☁☕💻😶","Hammerhead Coffee","100162404055730","2017-11-16 20:04:28.108+00"
"☁️☁️☁️☁️🙂","Seattle","IVxTrnRwMxWyhshYhy7iKvbdYmm2","2018-12-31 17:56:34.255+00"
"☁️☕👩‍💻","Blue Butterfly Coffee Co","10155351902975735","2018-05-30 00:58:49.833+00"
"☁️🍬🍚🍶👍","Chwihadang","904147553087729","2018-05-18 12:02:25.108+00"
"☃️","Funk Agricultural, Consumer, and Environmental Sciences Library (Funk ACES)","GbpC8mUGRWTnymKlq9OJOuJGa902","2019-02-13 21:41:00.251+00"
"☎️😵💻🍕😄","Siena Tavern","2063200643966298","2018-04-25 02:30:58.555+00"
"☔☔","Memphis International Airport","878293195646842","2018-05-05 14:48:31.898+00"
"☔🍣👍🚬😡","Restaurant Umami by Michel Roth - Hôtel Président Wilson","10155200088205955","2018-06-06 19:51:41.55+00"
"☔😖🏃‍♀️➡️💁","Drybar River North","10210457306100125","2018-05-16 22:52:11.404+00"
"☔🚶‍♀️🛤🌷🌿","The High Line","10155200088205955","2018-05-16 20:10:33.687+00"
"☕","Starbucks","10213210209801657","2017-12-17 02:32:21.031+00"
"☕","Bagel Street Cafe","113157892751068","2017-09-02 04:11:37.543+00"
"☕","Revolutions Coffee","imKur6dQMxYb8x5zU0gyJcoLIkw1","2018-12-29 21:58:59.611+00"
"☕⌨️🔁","Samsara","105856798281199967470","2018-11-19 18:03:46.817+00"
"☕⏰❄️😐","Two Zero Three Coffee & Wine Bar","108032751776815363988","2018-02-11 22:08:21.111+00"
"☕☀️👨‍💻👩‍💻👍","Intelligentsia Coffee - Highline Hotel","108032751776815363988","2018-07-07 19:47:24.236+00"
"☕☕☕☕☕","Philz Coffee","1632251683493765","2017-12-10 22:13:22.629+00"
"☕☕☕☕🥐","Flying Machine Avionics","1819182648126825","2018-04-08 16:35:55.519+00"
"☕☕☕🙂","Espace Café","878293195646842","2018-04-22 18:37:48.348+00"
"☕☕🌚","Dunkin' Donuts","878293195646842","2017-11-18 07:00:53.513+00"
"☕☕🌾🥛🤪","Blue Bottle Coffee","106173579224565293482","2018-09-01 19:38:40.028+00"
"☕☕👩‍💻☕☕","1904 S 1st St","904147553087729","2018-06-12 13:23:02.346+00"
"☕☕😃","Coffee Beanery","10212886863311893","2017-11-17 20:07:43.861+00"
"☕♨️👌😊","Big Shoulders Coffee River North","1659104244102907","2018-08-06 18:08:25.499+00"
"☕♨️🔥💯","Caffe Paradiso","1960784720615026","2017-12-01 03:24:54.622+00"
"☕⛅👷‍♀️","Starbucks","110478412661569610356","2018-02-23 14:41:53.717+00"
"☕⛪","St John's Lutheran Church","imKur6dQMxYb8x5zU0gyJcoLIkw1","2018-12-23 16:35:03.987+00"
"☕⛸️👫🎄☺️","L.A. Live","1898612533778623","2018-12-04 04:35:30.663+00"
